Date,Action,Price,Amount_USD,Shares,Cash,Total_Value,Type
2023-08-28,CORE_BUY,360.862060546875,100.0,0.2771141966225354,900.0,1000.0,Macro SMA Cross
2023-08-29,INTRADAY_SELL,367.6540837886097,5.0,0.2635144564850782,905.0,1001.8821660640749,Volatility Spike
2023-09-01,INTRADAY_BUY,371.8651987949685,5.0,0.276960189014507,900.0,1002.9918557461717,Volatility Dip
2023-09-06,INTRADAY_BUY,368.81524181941893,5.0,0.2905171124630453,895.0,1002.1471390857374,Volatility Dip
2023-09-07,GAP_BUY,364.2566177579788,5.0,0.30424369904031956,890.0,1000.8227807866032,Bearish Gap x1
2023-09-15,INTRADAY_BUY,367.4759573700344,5.0,0.3178500313723289,885.0,1001.802244578642,Volatility Dip
2023-09-19,INTRADAY_BUY,361.5564503014054,5.0,0.3316791305236007,880.0,999.9207290711696,Volatility Dip
2023-09-20,INTRADAY_BUY,363.15219541778663,5.0,0.3454474625427636,875.0,1000.4500044239082,Volatility Dip
2023-09-27,INTRADAY_BUY,347.9095316907704,5.0,0.3598190147554926,870.0,995.1844649170179,Volatility Dip
2023-09-29,INTRADAY_BUY,353.94005313605896,5.0,0.3739457007739239,865.0,997.3543612019234,Volatility Dip
2023-10-03,GAP_BUY,353.5213970012672,5.0,0.3880891162571516,860.0,997.1978065402154,Bearish Gap x1
2023-10-06,INTRADAY_SELL,357.2278715924827,5.0,0.3740924480304801,865.0,998.6362489887499,Volatility Spike
2023-10-12,INTRADAY_BUY,363.91572617792093,5.0,0.38783189274344493,860.0,1001.1381248826883,Volatility Dip
2023-10-13,INTRADAY_BUY,362.7801293534575,5.0,0.40161434551700487,855.0,1000.6977042168633,Volatility Dip
2023-10-17,GAP_BUY,360.448360262545,5.0,0.415485958072984,850.0,999.7612322995196,Bearish Gap x1
2023-10-25,GAP_BUY,351.4719998022708,5.0,0.42971184236195403,845.0,996.0316805736741,Bearish Gap x1
2023-10-26,INTRADAY_BUY,341.7810697406485,5.0,0.4443410902714246,840.0,991.8673731626935,Volatility Dip
2023-10-27,INTRADAY_BUY,339.1475670951145,5.0,0.4590839352307038,835.0,990.6971997259443,Volatility Dip
2023-11-08,INTRADAY_BUY,365.2374034508473,5.0,0.47277366129040865,830.0,1002.6746244696592,Volatility Dip
